gene,category,gene_base.x,cds_header,cds_seqname,locus_tag,protein_desc_from_cds,protein_id,gene_base.y,locus_base,protein_header,protein_desc_from_protein,protein_present_in_faa,match_type,gene.y,gene.x,gene_base
RvY_16120,Instability-only,RvY_16120,lcl|BDGG01000013.1_cds_GAV06085.1_18982 [gene=RvY_16120] [locus_tag=RvY_16120-1] [protein=hypothetical protein] [protein_id=GAV06085.1] [location=301921..302436] [gbkey=CDS],lcl|BDGG01000013.1_cds_GAV06085.1_18982,RvY_16120-1,hypothetical protein,GAV06085.1,RvY_16120,RvY_16120,GAV06085.1 hypothetical protein RvY_16120-1 [Ramazzottius varieornatus],hypothetical protein RvY_16120-1,TRUE,exact_gene,NA,NA,NA
RvY_04438-1,Instability-only,RvY_04438,"lcl|BDGG01000002.1_cds_GAU92345.1_5243 [gene=RvY_04438-1] [locus_tag=RvY_04438] [protein=hypothetical protein] [protein_id=GAU92345.1] [location=complement(join(3001156..3001883,3002004..3002034))] [gbkey=CDS]",lcl|BDGG01000002.1_cds_GAU92345.1_5243,RvY_04438,hypothetical protein,GAU92345.1,RvY_04438,RvY_04438,GAU92345.1 hypothetical protein RvY_04438 [Ramazzottius varieornatus],hypothetical protein RvY_04438,TRUE,exact_gene,NA,NA,NA
RvY_14730-1,Instability-only,RvY_14730,"lcl|BDGG01000011.1_cds_GAV04458.1_17355 [gene=RvY_14730-1] [locus_tag=RvY_14730] [protein=hypothetical protein] [protein_id=GAV04458.1] [location=complement(join(5093..5642,5700..6484,6934..7587,7677..7952))] [gbkey=CDS]",lcl|BDGG01000011.1_cds_GAV04458.1_17355,RvY_14730,hypothetical protein,GAV04458.1,RvY_14730,RvY_14730,GAV04458.1 hypothetical protein RvY_14730 [Ramazzottius varieornatus],hypothetical protein RvY_14730,TRUE,exact_gene,NA,NA,NA
RvY_19217-1,Instability-only,RvY_19217,lcl|BDGG01000026.1_cds_GAV09728.1_22625 [gene=RvY_19217-1] [locus_tag=RvY_19217] [protein=hypothetical protein] [protein_id=GAV09728.1] [location=complement(22878..23219)] [gbkey=CDS],lcl|BDGG01000026.1_cds_GAV09728.1_22625,RvY_19217,hypothetical protein,GAV09728.1,RvY_19217,RvY_19217,GAV09728.1 hypothetical protein RvY_19217 [Ramazzottius varieornatus],hypothetical protein RvY_19217,TRUE,exact_gene,NA,NA,NA
RvY_09977,Instability-only,RvY_09977,"lcl|BDGG01000005.1_cds_GAU98895.1_11793 [gene=RvY_09977] [locus_tag=RvY_09977-2] [protein=hypothetical protein] [protein_id=GAU98895.1] [location=join(425114..425536,425621..425842)] [gbkey=CDS]",lcl|BDGG01000005.1_cds_GAU98895.1_11793,RvY_09977-2,hypothetical protein,GAU98895.1,RvY_09977,RvY_09977,GAU98895.1 hypothetical protein RvY_09977-2 [Ramazzottius varieornatus],hypothetical protein RvY_09977-2,TRUE,exact_gene,NA,NA,NA
RvY_02617,Instability-only,RvY_02617,"lcl|BDGG01000001.1_cds_GAU90157.1_3055 [gene=RvY_02617] [locus_tag=RvY_02617-2] [protein=hypothetical protein] [protein_id=GAU90157.1] [location=join(7312859..7312959,7315489..7315682,7317445..7317791,7321466..7321617,7329158..7329170)] [gbkey=CDS]",lcl|BDGG01000001.1_cds_GAU90157.1_3055,RvY_02617-2,hypothetical protein,GAU90157.1,RvY_02617,RvY_02617,GAU90157.1 hypothetical protein RvY_02617-2 [Ramazzottius varieornatus],hypothetical protein RvY_02617-2,TRUE,exact_gene,NA,NA,NA
RvY_14133,Instability-only,RvY_14133,"lcl|BDGG01000010.1_cds_GAV03750.1_16647 [gene=RvY_14133] [locus_tag=RvY_14133-1] [protein=hypothetical protein] [protein_id=GAV03750.1] [location=complement(join(163205..163977,164352..164523,164616..164783,165294..165473,165662..165844))] [gbkey=CDS]",lcl|BDGG01000010.1_cds_GAV03750.1_16647,RvY_14133-1,hypothetical protein,GAV03750.1,RvY_14133,RvY_14133,GAV03750.1 hypothetical protein RvY_14133-1 [Ramazzottius varieornatus],hypothetical protein RvY_14133-1,TRUE,exact_gene,NA,NA,NA
RvY_19489-1,Instability-only,RvY_19489,"lcl|BDGG01000104.1_cds_GAV10004.1_22901 [gene=RvY_19489-1] [locus_tag=RvY_19489] [protein=hypothetical protein] [protein_id=GAV10004.1] [location=complement(join(329..589,666..788,981..1337,1462..1551,1745..1909))] [gbkey=CDS]",lcl|BDGG01000104.1_cds_GAV10004.1_22901,RvY_19489,hypothetical protein,GAV10004.1,RvY_19489,RvY_19489,GAV10004.1 hypothetical protein RvY_19489 [Ramazzottius varieornatus],hypothetical protein RvY_19489,TRUE,exact_gene,NA,NA,NA
RvY_05756-1,Instability-only,RvY_05756,"lcl|BDGG01000002.1_cds_GAU93891.1_6789 [gene=RvY_05756-1] [locus_tag=RvY_05756] [protein=hypothetical protein] [protein_id=GAU93891.1] [location=complement(join(7101960..7102035,7102173..7102453))] [gbkey=CDS]",lcl|BDGG01000002.1_cds_GAU93891.1_6789,RvY_05756,hypothetical protein,GAU93891.1,RvY_05756,RvY_05756,GAU93891.1 hypothetical protein RvY_05756 [Ramazzottius varieornatus],hypothetical protein RvY_05756,TRUE,exact_gene,NA,NA,NA
RvY_00460-1,Instability-only,RvY_00460,"lcl|BDGG01000001.1_cds_GAU87645.1_543 [gene=RvY_00460-1] [locus_tag=RvY_00460] [protein=hypothetical protein] [protein_id=GAU87645.1] [location=complement(join(1318968..1319214,1319315..1319419,1319526..1319953,1320216..1320539,1320606..1320962,1321121..1321291,1321391..1321555,1321677..1321826,1321924..1322498,1322599..1322641))] [gbkey=CDS]",lcl|BDGG01000001.1_cds_GAU87645.1_543,RvY_00460,hypothetical protein,GAU87645.1,RvY_00460,RvY_00460,GAU87645.1 hypothetical protein RvY_00460 [Ramazzottius varieornatus],hypothetical protein RvY_00460,TRUE,exact_gene,NA,NA,NA
RvY_06540-1,Instability-only,RvY_06540,"lcl|BDGG01000003.1_cds_GAU94830.1_7728 [gene=RvY_06540-1] [locus_tag=RvY_06540] [protein=hypothetical protein] [protein_id=GAU94830.1] [location=complement(join(285767..286072,286244..286406,286472..286631,286718..286919,286991..287171,287483..287971,288065..288360,288456..288496,288562..288612,288733..289078))] [gbkey=CDS]",lcl|BDGG01000003.1_cds_GAU94830.1_7728,RvY_06540,hypothetical protein,GAU94830.1,RvY_06540,RvY_06540,GAU94830.1 hypothetical protein RvY_06540 [Ramazzottius varieornatus],hypothetical protein RvY_06540,TRUE,exact_gene,NA,NA,NA
RvY_17121-1,Instability-only,RvY_17121,"lcl|BDGG01000014.1_cds_GAV07261.1_20158 [gene=RvY_17121-1] [locus_tag=RvY_17121] [protein=hypothetical protein] [protein_id=GAV07261.1] [location=complement(join(1521428..1521619,1521736..1521759))] [gbkey=CDS]",lcl|BDGG01000014.1_cds_GAV07261.1_20158,RvY_17121,hypothetical protein,GAV07261.1,RvY_17121,RvY_17121,GAV07261.1 hypothetical protein RvY_17121 [Ramazzottius varieornatus],hypothetical protein RvY_17121,TRUE,exact_gene,NA,NA,NA
RvY_19669-1,Instability-only,RvY_19669,"lcl|BDGG01000179.1_cds_GAV10094.1_22991 [gene=RvY_19669-1] [locus_tag=RvY_19669] [protein=hypothetical protein] [partial=5'] [protein_id=GAV10094.1] [location=complement(join(399..639,709..>842))] [gbkey=CDS]",lcl|BDGG01000179.1_cds_GAV10094.1_22991,RvY_19669,hypothetical protein,GAV10094.1,RvY_19669,RvY_19669,"GAV10094.1 hypothetical protein RvY_19669, partial [Ramazzottius varieornatus]","hypothetical protein RvY_19669, partial",TRUE,exact_gene,NA,NA,NA
RvY_10593-1,Instability-only,RvY_10593,"lcl|BDGG01000005.1_cds_GAU99625.1_12523 [gene=RvY_10593-1] [locus_tag=RvY_10593] [protein=hypothetical protein] [protein_id=GAU99625.1] [location=complement(join(2133253..2133593,2133672..2133761,2133834..2134023,2134097..2134228,2134302..2134521,2134611..2134709,2134781..2134994,2135075..2135111))] [gbkey=CDS]",lcl|BDGG01000005.1_cds_GAU99625.1_12523,RvY_10593,hypothetical protein,GAU99625.1,RvY_10593,RvY_10593,GAU99625.1 hypothetical protein RvY_10593 [Ramazzottius varieornatus],hypothetical protein RvY_10593,TRUE,exact_gene,NA,NA,NA
RvY_01202,Instability-only,RvY_01202,"lcl|BDGG01000001.1_cds_GAU88515.1_1413 [gene=RvY_01202] [locus_tag=RvY_01202-1] [protein=hypothetical protein] [protein_id=GAU88515.1] [location=join(3475669..3475966,3476301..3476433,3476507..3476678,3476738..3477334)] [gbkey=CDS]",lcl|BDGG01000001.1_cds_GAU88515.1_1413,RvY_01202-1,hypothetical protein,GAU88515.1,RvY_01202,RvY_01202,GAU88515.1 hypothetical protein RvY_01202-1 [Ramazzottius varieornatus],hypothetical protein RvY_01202-1,TRUE,exact_gene,NA,NA,NA
RvY_13378-1,Instability-only,RvY_13378,"lcl|BDGG01000008.1_cds_GAV02866.1_15763 [gene=RvY_13378-1] [locus_tag=RvY_13378] [protein=hypothetical protein] [protein_id=GAV02866.1] [location=complement(join(1966266..1966407,1966472..1967447,1967653..1967887))] [gbkey=CDS]",lcl|BDGG01000008.1_cds_GAV02866.1_15763,RvY_13378,hypothetical protein,GAV02866.1,RvY_13378,RvY_13378,GAV02866.1 hypothetical protein RvY_13378 [Ramazzottius varieornatus],hypothetical protein RvY_13378,TRUE,exact_gene,NA,NA,NA
RvY_12589-1,Instability-only,RvY_12589,"lcl|BDGG01000007.1_cds_GAV01966.1_14863 [gene=RvY_12589-1] [locus_tag=RvY_12589] [protein=hypothetical protein] [protein_id=GAV01966.1] [location=join(2077875..2077959,2078050..2078084,2078157..2078262,2078350..2078428,2080040..2080113,2080221..2080277,2080344..2080407,2080529..2080604,2080683..2081783)] [gbkey=CDS]",lcl|BDGG01000007.1_cds_GAV01966.1_14863,RvY_12589,hypothetical protein,GAV01966.1,RvY_12589,RvY_12589,GAV01966.1 hypothetical protein RvY_12589 [Ramazzottius varieornatus],hypothetical protein RvY_12589,TRUE,exact_gene,NA,NA,NA
RvY_12426-1,Instability-only,RvY_12426,"lcl|BDGG01000007.1_cds_GAV01768.1_14665 [gene=RvY_12426-1] [locus_tag=RvY_12426] [protein=hypothetical protein] [protein_id=GAV01768.1] [location=complement(join(1669128..1669525,1669596..1669797,1669898..1670047,1670122..1670464,1670570..1670969,1671049..1671181))] [gbkey=CDS]",lcl|BDGG01000007.1_cds_GAV01768.1_14665,RvY_12426,hypothetical protein,GAV01768.1,RvY_12426,RvY_12426,GAV01768.1 hypothetical protein RvY_12426 [Ramazzottius varieornatus],hypothetical protein RvY_12426,TRUE,exact_gene,NA,NA,NA
RvY_05865-1,Instability-only,RvY_05865,"lcl|BDGG01000002.1_cds_GAU94017.1_6915 [gene=RvY_05865-1] [locus_tag=RvY_05865] [protein=hypothetical protein] [protein_id=GAU94017.1] [location=join(7388574..7389105,7389184..7389260,7389359..7389418,7389485..7389786,7389848..7389941,7390008..7390073)] [gbkey=CDS]",lcl|BDGG01000002.1_cds_GAU94017.1_6915,RvY_05865,hypothetical protein,GAU94017.1,RvY_05865,RvY_05865,GAU94017.1 hypothetical protein RvY_05865 [Ramazzottius varieornatus],hypothetical protein RvY_05865,TRUE,exact_gene,NA,NA,NA
RvY_08410,Instability-only,RvY_08410,"lcl|BDGG01000004.1_cds_GAU97050.1_9948 [gene=RvY_08410] [locus_tag=RvY_08410-2] [protein=hypothetical protein] [protein_id=GAU97050.1] [location=complement(join(123134..123371,123430..123751,124095..124338))] [gbkey=CDS]",lcl|BDGG01000004.1_cds_GAU97050.1_9948,RvY_08410-2,hypothetical protein,GAU97050.1,RvY_08410,RvY_08410,GAU97050.1 hypothetical protein RvY_08410-2 [Ramazzottius varieornatus],hypothetical protein RvY_08410-2,TRUE,exact_gene,NA,NA,NA
RvY_18994-1,Instability-only,RvY_18994,"lcl|BDGG01000022.1_cds_GAV09450.1_22347 [gene=RvY_18994-1] [locus_tag=RvY_18994] [protein=hypothetical protein] [protein_id=GAV09450.1] [location=complement(join(259395..259639,259725..259911,259975..260125,260187..260578,260669..260767,261068..261144,261221..261487,261556..261822,261903..262358,262427..262589))] [gbkey=CDS]",lcl|BDGG01000022.1_cds_GAV09450.1_22347,RvY_18994,hypothetical protein,GAV09450.1,RvY_18994,RvY_18994,GAV09450.1 hypothetical protein RvY_18994 [Ramazzottius varieornatus],hypothetical protein RvY_18994,TRUE,exact_gene,NA,NA,NA
RvY_14535-1,Instability-only,RvY_14535,"lcl|BDGG01000010.1_cds_GAV04223.1_17120 [gene=RvY_14535-1] [locus_tag=RvY_14535] [protein=hypothetical protein] [protein_id=GAV04223.1] [location=join(1322313..1322355,1322503..1322799,1322862..1323110,1323184..1323417,1323480..1323955,1324038..1324824,1324977..1325507,1325719..1326222,1326427..1327293,1327488..1327694,1327778..1327873,1327947..1328204,1328265..1328431)] [gbkey=CDS]",lcl|BDGG01000010.1_cds_GAV04223.1_17120,RvY_14535,hypothetical protein,GAV04223.1,RvY_14535,RvY_14535,GAV04223.1 hypothetical protein RvY_14535 [Ramazzottius varieornatus],hypothetical protein RvY_14535,TRUE,exact_gene,NA,NA,NA
RvY_10290,Instability-only,RvY_10290,"lcl|BDGG01000005.1_cds_GAU99261.1_12159 [gene=RvY_10290] [locus_tag=RvY_10290-1] [protein=hypothetical protein] [protein_id=GAU99261.1] [location=join(1303089..1303267,1303336..1303470,1303544..1303754,1303818..1303975,1304056..1304092,1304159..1304284,1304369..1304446,1304537..1304592,1304655..1304786,1304848..1305027,1305214..1305627,1306071..1306152)] [gbkey=CDS]",lcl|BDGG01000005.1_cds_GAU99261.1_12159,RvY_10290-1,hypothetical protein,GAU99261.1,RvY_10290,RvY_10290,GAU99261.1 hypothetical protein RvY_10290-1 [Ramazzottius varieornatus],hypothetical protein RvY_10290-1,TRUE,exact_gene,NA,NA,NA
RvY_03382,Instability-only,RvY_03382,"lcl|BDGG01000002.1_cds_GAU91053.1_3951 [gene=RvY_03382] [locus_tag=RvY_03382-1] [protein=hypothetical protein] [protein_id=GAU91053.1] [location=complement(join(411..449,568..729,822..983,1046..1266,1389..1809))] [gbkey=CDS]",lcl|BDGG01000002.1_cds_GAU91053.1_3951,RvY_03382-1,hypothetical protein,GAU91053.1,RvY_03382,RvY_03382,GAU91053.1 hypothetical protein RvY_03382-1 [Ramazzottius varieornatus],hypothetical protein RvY_03382-1,TRUE,exact_gene,NA,NA,NA
RvY_04310-1,Instability-only,RvY_04310,"lcl|BDGG01000002.1_cds_GAU92197.1_5095 [gene=RvY_04310-1] [locus_tag=RvY_04310] [protein=hypothetical protein] [protein_id=GAU92197.1] [location=complement(join(2646073..2646671,2646867..2647078,2647171..2647300,2647502..2648131,2648292..2648343))] [gbkey=CDS]",lcl|BDGG01000002.1_cds_GAU92197.1_5095,RvY_04310,hypothetical protein,GAU92197.1,RvY_04310,RvY_04310,GAU92197.1 hypothetical protein RvY_04310 [Ramazzottius varieornatus],hypothetical protein RvY_04310,TRUE,exact_gene,NA,NA,NA
RvY_01734-1,Instability-only,RvY_01734,lcl|BDGG01000001.1_cds_GAU89150.1_2048 [gene=RvY_01734-1] [locus_tag=RvY_01734] [protein=hypothetical protein] [protein_id=GAU89150.1] [location=4998034..4998522] [gbkey=CDS],lcl|BDGG01000001.1_cds_GAU89150.1_2048,RvY_01734,hypothetical protein,GAU89150.1,RvY_01734,RvY_01734,GAU89150.1 hypothetical protein RvY_01734 [Ramazzottius varieornatus],hypothetical protein RvY_01734,TRUE,exact_gene,NA,NA,NA
RvY_13663-1,Instability-only,RvY_13663,"lcl|BDGG01000009.1_cds_GAV03204.1_16101 [gene=RvY_13663-1] [locus_tag=RvY_13663] [protein=hypothetical protein] [protein_id=GAV03204.1] [location=complement(join(712998..713170,713252..713339))] [gbkey=CDS]",lcl|BDGG01000009.1_cds_GAV03204.1_16101,RvY_13663,hypothetical protein,GAV03204.1,RvY_13663,RvY_13663,GAV03204.1 hypothetical protein RvY_13663 [Ramazzottius varieornatus],hypothetical protein RvY_13663,TRUE,exact_gene,NA,NA,NA
RvY_03054,Instability-only,RvY_03054,"lcl|BDGG01000001.1_cds_GAU90668.1_3566 [gene=RvY_03054] [locus_tag=RvY_03054-1] [protein=hypothetical protein] [protein_id=GAU90668.1] [location=join(8475241..8475453,8475715..8475807,8476034..8476258)] [gbkey=CDS]",lcl|BDGG01000001.1_cds_GAU90668.1_3566,RvY_03054-1,hypothetical protein,GAU90668.1,RvY_03054,RvY_03054,GAU90668.1 hypothetical protein RvY_03054-1 [Ramazzottius varieornatus],hypothetical protein RvY_03054-1,TRUE,exact_gene,NA,NA,NA
RvY_18153-1,Instability-only,RvY_18153,"lcl|BDGG01000017.1_cds_GAV08470.1_21367 [gene=RvY_18153-1] [locus_tag=RvY_18153] [protein=hypothetical protein] [protein_id=GAV08470.1] [location=join(762039..762206,762293..762382,762642..762755,762828..762953,763099..763152)] [gbkey=CDS]",lcl|BDGG01000017.1_cds_GAV08470.1_21367,RvY_18153,hypothetical protein,GAV08470.1,RvY_18153,RvY_18153,GAV08470.1 hypothetical protein RvY_18153 [Ramazzottius varieornatus],hypothetical protein RvY_18153,TRUE,exact_gene,NA,NA,NA
RvY_03078-1,Instability-only,RvY_03078,"lcl|BDGG01000001.1_cds_GAU90698.1_3596 [gene=RvY_03078-1] [locus_tag=RvY_03078] [protein=hypothetical protein] [protein_id=GAU90698.1] [location=complement(join(8528723..8528807,8528870..8529279))] [gbkey=CDS]",lcl|BDGG01000001.1_cds_GAU90698.1_3596,RvY_03078,hypothetical protein,GAU90698.1,RvY_03078,RvY_03078,GAU90698.1 hypothetical protein RvY_03078 [Ramazzottius varieornatus],hypothetical protein RvY_03078,TRUE,exact_gene,NA,NA,NA
RvY_11656-1,Instability-only,RvY_11656,"lcl|BDGG01000006.1_cds_GAV00868.1_13765 [gene=RvY_11656-1] [locus_tag=RvY_11656] [protein=hypothetical protein] [protein_id=GAV00868.1] [location=join(1906391..1906521,1906576..1907008)] [gbkey=CDS]",lcl|BDGG01000006.1_cds_GAV00868.1_13765,RvY_11656,hypothetical protein,GAV00868.1,RvY_11656,RvY_11656,GAV00868.1 hypothetical protein RvY_11656 [Ramazzottius varieornatus],hypothetical protein RvY_11656,TRUE,exact_gene,NA,NA,NA
RvY_16778-1,Instability-only,RvY_16778,"lcl|BDGG01000014.1_cds_GAV06863.1_19760 [gene=RvY_16778-1] [locus_tag=RvY_16778] [protein=hypothetical protein] [protein_id=GAV06863.1] [location=complement(join(575312..576063,576174..576306))] [gbkey=CDS]",lcl|BDGG01000014.1_cds_GAV06863.1_19760,RvY_16778,hypothetical protein,GAV06863.1,RvY_16778,RvY_16778,GAV06863.1 hypothetical protein RvY_16778 [Ramazzottius varieornatus],hypothetical protein RvY_16778,TRUE,exact_gene,NA,NA,NA
RvY_03711-1,Instability-only,RvY_03711,"lcl|BDGG01000002.1_cds_GAU91465.1_4363 [gene=RvY_03711-1] [locus_tag=RvY_03711] [protein=hypothetical protein] [protein_id=GAU91465.1] [location=complement(join(921616..921686,921806..922277))] [gbkey=CDS]",lcl|BDGG01000002.1_cds_GAU91465.1_4363,RvY_03711,hypothetical protein,GAU91465.1,RvY_03711,RvY_03711,GAU91465.1 hypothetical protein RvY_03711 [Ramazzottius varieornatus],hypothetical protein RvY_03711,TRUE,exact_gene,NA,NA,NA
RvY_17009-1,Instability-only,RvY_17009,lcl|BDGG01000014.1_cds_GAV07133.1_20030 [gene=RvY_17009-1] [locus_tag=RvY_17009] [protein=hypothetical protein] [protein_id=GAV07133.1] [location=1177745..1177996] [gbkey=CDS],lcl|BDGG01000014.1_cds_GAV07133.1_20030,RvY_17009,hypothetical protein,GAV07133.1,RvY_17009,RvY_17009,GAV07133.1 hypothetical protein RvY_17009 [Ramazzottius varieornatus],hypothetical protein RvY_17009,TRUE,exact_gene,NA,NA,NA
RvY_01402-1,Instability-only,RvY_01402,"lcl|BDGG01000001.1_cds_GAU88765.1_1663 [gene=RvY_01402-1] [locus_tag=RvY_01402] [protein=hypothetical protein] [protein_id=GAU88765.1] [location=join(4046789..4047500,4047592..4047955,4048016..4048278,4048336..4048493,4048572..4048733)] [gbkey=CDS]",lcl|BDGG01000001.1_cds_GAU88765.1_1663,RvY_01402,hypothetical protein,GAU88765.1,RvY_01402,RvY_01402,GAU88765.1 hypothetical protein RvY_01402 [Ramazzottius varieornatus],hypothetical protein RvY_01402,TRUE,exact_gene,NA,NA,NA
RvY_11683-1,Instability-only,RvY_11683,"lcl|BDGG01000006.1_cds_GAV00898.1_13795 [gene=RvY_11683-1] [locus_tag=RvY_11683] [protein=hypothetical protein] [protein_id=GAV00898.1] [location=complement(join(1997100..1997579,1997876..1998444,1998786..1999197))] [gbkey=CDS]",lcl|BDGG01000006.1_cds_GAV00898.1_13795,RvY_11683,hypothetical protein,GAV00898.1,RvY_11683,RvY_11683,GAV00898.1 hypothetical protein RvY_11683 [Ramazzottius varieornatus],hypothetical protein RvY_11683,TRUE,exact_gene,NA,NA,NA
RvY_13098-1,Instability-only,RvY_13098,"lcl|BDGG01000008.1_cds_GAV02551.1_15448 [gene=RvY_13098-1] [locus_tag=RvY_13098] [protein=hypothetical protein] [protein_id=GAV02551.1] [location=join(1154549..1154630,1154706..1154894,1155028..1155132,1155245..1155307,1155388..1155761)] [gbkey=CDS]",lcl|BDGG01000008.1_cds_GAV02551.1_15448,RvY_13098,hypothetical protein,GAV02551.1,RvY_13098,RvY_13098,GAV02551.1 hypothetical protein RvY_13098 [Ramazzottius varieornatus],hypothetical protein RvY_13098,TRUE,exact_gene,NA,NA,NA
