cds_header,cds_seqname,gene,locus_tag,protein_desc_from_cds,protein_id,gene_base,locus_base,protein_header,protein_desc_from_protein,protein_present_in_faa
"lcl|BDGG01000001.1_cds_GAU87122.1_20 [gene=RvY_00019-1] [locus_tag=RvY_00019] [protein=hypothetical protein] [protein_id=GAU87122.1] [location=join(36493..36697,36759..36868,37135..37494)] [gbkey=CDS]",lcl|BDGG01000001.1_cds_GAU87122.1_20,RvY_00019-1,RvY_00019,hypothetical protein,GAU87122.1,RvY_00019,RvY_00019,GAU87122.1 hypothetical protein RvY_00019 [Ramazzottius varieornatus],hypothetical protein RvY_00019,TRUE
"lcl|BDGG01000001.1_cds_GAU87123.1_21 [gene=RvY_00020-1] [locus_tag=RvY_00020] [protein=hypothetical protein] [protein_id=GAU87123.1] [location=complement(join(40345..40897,41104..41698,41770..41887))] [gbkey=CDS]",lcl|BDGG01000001.1_cds_GAU87123.1_21,RvY_00020-1,RvY_00020,hypothetical protein,GAU87123.1,RvY_00020,RvY_00020,GAU87123.1 hypothetical protein RvY_00020 [Ramazzottius varieornatus],hypothetical protein RvY_00020,TRUE
"lcl|BDGG01000001.1_cds_GAU87124.1_22 [gene=RvY_00021-1] [locus_tag=RvY_00021] [protein=hypothetical protein] [protein_id=GAU87124.1] [location=complement(join(44061..44515,45146..45254,45377..45742))] [gbkey=CDS]",lcl|BDGG01000001.1_cds_GAU87124.1_22,RvY_00021-1,RvY_00021,hypothetical protein,GAU87124.1,RvY_00021,RvY_00021,GAU87124.1 hypothetical protein RvY_00021 [Ramazzottius varieornatus],hypothetical protein RvY_00021,TRUE
"lcl|BDGG01000001.1_cds_GAU87125.1_23 [gene=RvY_00022-1] [locus_tag=RvY_00022] [protein=hypothetical protein] [protein_id=GAU87125.1] [location=join(46894..47067,47129..47284)] [gbkey=CDS]",lcl|BDGG01000001.1_cds_GAU87125.1_23,RvY_00022-1,RvY_00022,hypothetical protein,GAU87125.1,RvY_00022,RvY_00022,GAU87125.1 hypothetical protein RvY_00022 [Ramazzottius varieornatus],hypothetical protein RvY_00022,TRUE
lcl|BDGG01000001.1_cds_GAU87126.1_24 [gene=RvY_00023] [locus_tag=RvY_00023-2] [protein=hypothetical protein] [protein_id=GAU87126.1] [location=complement(47615..48361)] [gbkey=CDS],lcl|BDGG01000001.1_cds_GAU87126.1_24,RvY_00023,RvY_00023-2,hypothetical protein,GAU87126.1,RvY_00023,RvY_00023,GAU87126.1 hypothetical protein RvY_00023-2 [Ramazzottius varieornatus],hypothetical protein RvY_00023-2,TRUE
"lcl|BDGG01000001.1_cds_GAU87127.1_25 [gene=RvY_00023] [locus_tag=RvY_00023-1] [protein=hypothetical protein] [protein_id=GAU87127.1] [location=complement(join(48318..48471,48711..49510))] [gbkey=CDS]",lcl|BDGG01000001.1_cds_GAU87127.1_25,RvY_00023,RvY_00023-1,hypothetical protein,GAU87127.1,RvY_00023,RvY_00023,GAU87127.1 hypothetical protein RvY_00023-1 [Ramazzottius varieornatus],hypothetical protein RvY_00023-1,TRUE
"lcl|BDGG01000001.1_cds_GAU87128.1_26 [gene=RvY_00024-1] [locus_tag=RvY_00024] [protein=hypothetical protein] [protein_id=GAU87128.1] [location=join(50042..50459,50951..51070,51150..51299,51840..52262,52951..53705)] [gbkey=CDS]",lcl|BDGG01000001.1_cds_GAU87128.1_26,RvY_00024-1,RvY_00024,hypothetical protein,GAU87128.1,RvY_00024,RvY_00024,GAU87128.1 hypothetical protein RvY_00024 [Ramazzottius varieornatus],hypothetical protein RvY_00024,TRUE
"lcl|BDGG01000001.1_cds_GAU87129.1_27 [gene=RvY_00025-1] [locus_tag=RvY_00025] [protein=hypothetical protein] [protein_id=GAU87129.1] [location=join(54332..55060,55365..55488,55576..55884,56292..56587)] [gbkey=CDS]",lcl|BDGG01000001.1_cds_GAU87129.1_27,RvY_00025-1,RvY_00025,hypothetical protein,GAU87129.1,RvY_00025,RvY_00025,GAU87129.1 hypothetical protein RvY_00025 [Ramazzottius varieornatus],hypothetical protein RvY_00025,TRUE
"lcl|BDGG01000001.1_cds_GAU87130.1_28 [gene=RvY_00026-1] [locus_tag=RvY_00026] [protein=hypothetical protein] [protein_id=GAU87130.1] [location=complement(join(57258..57601,57767..58565))] [gbkey=CDS]",lcl|BDGG01000001.1_cds_GAU87130.1_28,RvY_00026-1,RvY_00026,hypothetical protein,GAU87130.1,RvY_00026,RvY_00026,GAU87130.1 hypothetical protein RvY_00026 [Ramazzottius varieornatus],hypothetical protein RvY_00026,TRUE
lcl|BDGG01000001.1_cds_GAU87131.1_29 [gene=RvY_00027-1] [locus_tag=RvY_00027] [protein=hypothetical protein] [protein_id=GAU87131.1] [location=complement(60181..60732)] [gbkey=CDS],lcl|BDGG01000001.1_cds_GAU87131.1_29,RvY_00027-1,RvY_00027,hypothetical protein,GAU87131.1,RvY_00027,RvY_00027,GAU87131.1 hypothetical protein RvY_00027 [Ramazzottius varieornatus],hypothetical protein RvY_00027,TRUE
"lcl|BDGG01000001.1_cds_GAU87132.1_30 [gene=RvY_00028-1] [locus_tag=RvY_00028] [protein=hypothetical protein] [protein_id=GAU87132.1] [location=join(60972..61489,61810..62176)] [gbkey=CDS]",lcl|BDGG01000001.1_cds_GAU87132.1_30,RvY_00028-1,RvY_00028,hypothetical protein,GAU87132.1,RvY_00028,RvY_00028,GAU87132.1 hypothetical protein RvY_00028 [Ramazzottius varieornatus],hypothetical protein RvY_00028,TRUE
"lcl|BDGG01000001.1_cds_GAU87133.1_31 [gene=RvY_00029-1] [locus_tag=RvY_00029] [protein=hypothetical protein] [protein_id=GAU87133.1] [location=complement(join(62494..62616,62691..62886,63057..63505,63874..64011,64090..64227,64292..64350,64632..64727,64840..64927))] [gbkey=CDS]",lcl|BDGG01000001.1_cds_GAU87133.1_31,RvY_00029-1,RvY_00029,hypothetical protein,GAU87133.1,RvY_00029,RvY_00029,GAU87133.1 hypothetical protein RvY_00029 [Ramazzottius varieornatus],hypothetical protein RvY_00029,TRUE
"lcl|BDGG01000001.1_cds_GAU87134.1_32 [gene=RvY_00030-1] [locus_tag=RvY_00030] [protein=hypothetical protein] [protein_id=GAU87134.1] [location=complement(join(65194..65496,65849..66124,66389..67084))] [gbkey=CDS]",lcl|BDGG01000001.1_cds_GAU87134.1_32,RvY_00030-1,RvY_00030,hypothetical protein,GAU87134.1,RvY_00030,RvY_00030,GAU87134.1 hypothetical protein RvY_00030 [Ramazzottius varieornatus],hypothetical protein RvY_00030,TRUE
"lcl|BDGG01000001.1_cds_GAU87135.1_33 [gene=RvY_00031-1] [locus_tag=RvY_00031] [protein=hypothetical protein] [protein_id=GAU87135.1] [location=complement(join(69450..70408,70668..70734))] [gbkey=CDS]",lcl|BDGG01000001.1_cds_GAU87135.1_33,RvY_00031-1,RvY_00031,hypothetical protein,GAU87135.1,RvY_00031,RvY_00031,GAU87135.1 hypothetical protein RvY_00031 [Ramazzottius varieornatus],hypothetical protein RvY_00031,TRUE
"lcl|BDGG01000001.1_cds_GAU87136.1_34 [gene=RvY_00032-1] [locus_tag=RvY_00032] [protein=hypothetical protein] [protein_id=GAU87136.1] [location=join(71531..71667,71835..71862)] [gbkey=CDS]",lcl|BDGG01000001.1_cds_GAU87136.1_34,RvY_00032-1,RvY_00032,hypothetical protein,GAU87136.1,RvY_00032,RvY_00032,GAU87136.1 hypothetical protein RvY_00032 [Ramazzottius varieornatus],hypothetical protein RvY_00032,TRUE
lcl|BDGG01000001.1_cds_GAU87137.1_35 [gene=RvY_00033-1] [locus_tag=RvY_00033] [protein=hypothetical protein] [protein_id=GAU87137.1] [location=complement(72105..72380)] [gbkey=CDS],lcl|BDGG01000001.1_cds_GAU87137.1_35,RvY_00033-1,RvY_00033,hypothetical protein,GAU87137.1,RvY_00033,RvY_00033,GAU87137.1 hypothetical protein RvY_00033 [Ramazzottius varieornatus],hypothetical protein RvY_00033,TRUE
lcl|BDGG01000001.1_cds_GAU87138.1_36 [gene=RvY_00034-1] [locus_tag=RvY_00034] [protein=hypothetical protein] [protein_id=GAU87138.1] [location=complement(72730..73461)] [gbkey=CDS],lcl|BDGG01000001.1_cds_GAU87138.1_36,RvY_00034-1,RvY_00034,hypothetical protein,GAU87138.1,RvY_00034,RvY_00034,GAU87138.1 hypothetical protein RvY_00034 [Ramazzottius varieornatus],hypothetical protein RvY_00034,TRUE
lcl|BDGG01000001.1_cds_GAU87139.1_37 [gene=RvY_00035-1] [locus_tag=RvY_00035] [protein=hypothetical protein] [protein_id=GAU87139.1] [location=complement(73607..73936)] [gbkey=CDS],lcl|BDGG01000001.1_cds_GAU87139.1_37,RvY_00035-1,RvY_00035,hypothetical protein,GAU87139.1,RvY_00035,RvY_00035,GAU87139.1 hypothetical protein RvY_00035 [Ramazzottius varieornatus],hypothetical protein RvY_00035,TRUE
lcl|BDGG01000001.1_cds_GAU87140.1_38 [gene=RvY_00036-1] [locus_tag=RvY_00036] [protein=hypothetical protein] [protein_id=GAU87140.1] [location=complement(77658..77879)] [gbkey=CDS],lcl|BDGG01000001.1_cds_GAU87140.1_38,RvY_00036-1,RvY_00036,hypothetical protein,GAU87140.1,RvY_00036,RvY_00036,GAU87140.1 hypothetical protein RvY_00036 [Ramazzottius varieornatus],hypothetical protein RvY_00036,TRUE
lcl|BDGG01000001.1_cds_GAU87141.1_39 [gene=RvY_00037-1] [locus_tag=RvY_00037] [protein=hypothetical protein] [protein_id=GAU87141.1] [location=78021..78515] [gbkey=CDS],lcl|BDGG01000001.1_cds_GAU87141.1_39,RvY_00037-1,RvY_00037,hypothetical protein,GAU87141.1,RvY_00037,RvY_00037,GAU87141.1 hypothetical protein RvY_00037 [Ramazzottius varieornatus],hypothetical protein RvY_00037,TRUE
"lcl|BDGG01000001.1_cds_GAU87142.1_40 [gene=RvY_00038-1] [locus_tag=RvY_00038] [protein=hypothetical protein] [protein_id=GAU87142.1] [location=join(80713..81030,81244..81330)] [gbkey=CDS]",lcl|BDGG01000001.1_cds_GAU87142.1_40,RvY_00038-1,RvY_00038,hypothetical protein,GAU87142.1,RvY_00038,RvY_00038,GAU87142.1 hypothetical protein RvY_00038 [Ramazzottius varieornatus],hypothetical protein RvY_00038,TRUE
"lcl|BDGG01000001.1_cds_GAU87143.1_41 [gene=RvY_00039] [locus_tag=RvY_00039-1] [protein=hypothetical protein] [protein_id=GAU87143.1] [location=complement(join(82029..82412,82493..82566,82657..82822,83077..83388,83499..83522))] [gbkey=CDS]",lcl|BDGG01000001.1_cds_GAU87143.1_41,RvY_00039,RvY_00039-1,hypothetical protein,GAU87143.1,RvY_00039,RvY_00039,GAU87143.1 hypothetical protein RvY_00039-1 [Ramazzottius varieornatus],hypothetical protein RvY_00039-1,TRUE
"lcl|BDGG01000001.1_cds_GAU87144.1_42 [gene=RvY_00039] [locus_tag=RvY_00039-3] [protein=hypothetical protein] [protein_id=GAU87144.1] [location=complement(join(82165..82194,82284..82412,82493..82566,82657..82822,83077..83388,83499..83522))] [gbkey=CDS]",lcl|BDGG01000001.1_cds_GAU87144.1_42,RvY_00039,RvY_00039-3,hypothetical protein,GAU87144.1,RvY_00039,RvY_00039,GAU87144.1 hypothetical protein RvY_00039-3 [Ramazzottius varieornatus],hypothetical protein RvY_00039-3,TRUE
"lcl|BDGG01000001.1_cds_GAU87145.1_43 [gene=RvY_00039] [locus_tag=RvY_00039-2] [protein=hypothetical protein] [protein_id=GAU87145.1] [location=complement(join(82361..82822,83077..83388,83499..83522))] [gbkey=CDS]",lcl|BDGG01000001.1_cds_GAU87145.1_43,RvY_00039,RvY_00039-2,hypothetical protein,GAU87145.1,RvY_00039,RvY_00039,GAU87145.1 hypothetical protein RvY_00039-2 [Ramazzottius varieornatus],hypothetical protein RvY_00039-2,TRUE
"lcl|BDGG01000001.1_cds_GAU87146.1_44 [gene=RvY_00040-1] [locus_tag=RvY_00040] [protein=hypothetical protein] [exception=low-quality sequence region] [protein_id=GAU87146.1] [location=complement(join(83946..84097,84247..84257,84443..84567))] [gbkey=CDS]",lcl|BDGG01000001.1_cds_GAU87146.1_44,RvY_00040-1,RvY_00040,hypothetical protein,GAU87146.1,RvY_00040,RvY_00040,GAU87146.1 LOW QUALITY PROTEIN: hypothetical protein RvY_00040 [Ramazzottius varieornatus],LOW QUALITY PROTEIN: hypothetical protein RvY_00040,TRUE
lcl|BDGG01000001.1_cds_GAU87147.1_45 [gene=RvY_00041] [locus_tag=RvY_00041-2] [protein=hypothetical protein] [protein_id=GAU87147.1] [location=complement(84598..84849)] [gbkey=CDS],lcl|BDGG01000001.1_cds_GAU87147.1_45,RvY_00041,RvY_00041-2,hypothetical protein,GAU87147.1,RvY_00041,RvY_00041,GAU87147.1 hypothetical protein RvY_00041-2 [Ramazzottius varieornatus],hypothetical protein RvY_00041-2,TRUE
"lcl|BDGG01000001.1_cds_GAU87148.1_46 [gene=RvY_00041] [locus_tag=RvY_00041-1] [protein=hypothetical protein] [protein_id=GAU87148.1] [location=complement(join(84630..84791,85632..85778))] [gbkey=CDS]",lcl|BDGG01000001.1_cds_GAU87148.1_46,RvY_00041,RvY_00041-1,hypothetical protein,GAU87148.1,RvY_00041,RvY_00041,GAU87148.1 hypothetical protein RvY_00041-1 [Ramazzottius varieornatus],hypothetical protein RvY_00041-1,TRUE
"lcl|BDGG01000001.1_cds_GAU87149.1_47 [gene=RvY_00042-1] [locus_tag=RvY_00042] [protein=hypothetical protein] [protein_id=GAU87149.1] [location=complement(join(85954..85960,90197..90513))] [gbkey=CDS]",lcl|BDGG01000001.1_cds_GAU87149.1_47,RvY_00042-1,RvY_00042,hypothetical protein,GAU87149.1,RvY_00042,RvY_00042,GAU87149.1 hypothetical protein RvY_00042 [Ramazzottius varieornatus],hypothetical protein RvY_00042,TRUE
lcl|BDGG01000001.1_cds_GAU87150.1_48 [gene=RvY_00043-1] [locus_tag=RvY_00043] [protein=hypothetical protein] [protein_id=GAU87150.1] [location=86760..86945] [gbkey=CDS],lcl|BDGG01000001.1_cds_GAU87150.1_48,RvY_00043-1,RvY_00043,hypothetical protein,GAU87150.1,RvY_00043,RvY_00043,GAU87150.1 hypothetical protein RvY_00043 [Ramazzottius varieornatus],hypothetical protein RvY_00043,TRUE
"lcl|BDGG01000001.1_cds_GAU87151.1_49 [gene=RvY_00044-1] [locus_tag=RvY_00044] [protein=hypothetical protein] [protein_id=GAU87151.1] [location=join(88148..88933,90223..91933,91964..92226)] [gbkey=CDS]",lcl|BDGG01000001.1_cds_GAU87151.1_49,RvY_00044-1,RvY_00044,hypothetical protein,GAU87151.1,RvY_00044,RvY_00044,GAU87151.1 hypothetical protein RvY_00044 [Ramazzottius varieornatus],hypothetical protein RvY_00044,TRUE
"lcl|BDGG01000001.1_cds_GAU87152.1_50 [gene=RvY_00045-1] [locus_tag=RvY_00045] [protein=hypothetical protein] [protein_id=GAU87152.1] [location=join(92497..92726,93349..93796)] [gbkey=CDS]",lcl|BDGG01000001.1_cds_GAU87152.1_50,RvY_00045-1,RvY_00045,hypothetical protein,GAU87152.1,RvY_00045,RvY_00045,GAU87152.1 hypothetical protein RvY_00045 [Ramazzottius varieornatus],hypothetical protein RvY_00045,TRUE
lcl|BDGG01000001.1_cds_GAU87153.1_51 [gene=RvY_00046-1] [locus_tag=RvY_00046] [protein=hypothetical protein] [protein_id=GAU87153.1] [location=complement(96190..98382)] [gbkey=CDS],lcl|BDGG01000001.1_cds_GAU87153.1_51,RvY_00046-1,RvY_00046,hypothetical protein,GAU87153.1,RvY_00046,RvY_00046,GAU87153.1 hypothetical protein RvY_00046 [Ramazzottius varieornatus],hypothetical protein RvY_00046,TRUE
lcl|BDGG01000001.1_cds_GAU87154.1_52 [gene=RvY_00047-1] [locus_tag=RvY_00047] [protein=hypothetical protein] [protein_id=GAU87154.1] [location=complement(98435..98998)] [gbkey=CDS],lcl|BDGG01000001.1_cds_GAU87154.1_52,RvY_00047-1,RvY_00047,hypothetical protein,GAU87154.1,RvY_00047,RvY_00047,GAU87154.1 hypothetical protein RvY_00047 [Ramazzottius varieornatus],hypothetical protein RvY_00047,TRUE
"lcl|BDGG01000001.1_cds_GAU87155.1_53 [gene=RvY_00048-1] [locus_tag=RvY_00048] [protein=hypothetical protein] [protein_id=GAU87155.1] [location=join(99807..100046,100130..100384,100564..100938)] [gbkey=CDS]",lcl|BDGG01000001.1_cds_GAU87155.1_53,RvY_00048-1,RvY_00048,hypothetical protein,GAU87155.1,RvY_00048,RvY_00048,GAU87155.1 hypothetical protein RvY_00048 [Ramazzottius varieornatus],hypothetical protein RvY_00048,TRUE
"lcl|BDGG01000001.1_cds_GAU87156.1_54 [gene=RvY_00049-1] [locus_tag=RvY_00049] [protein=hypothetical protein] [protein_id=GAU87156.1] [location=complement(join(101490..102139,102212..102394,102579..102981))] [gbkey=CDS]",lcl|BDGG01000001.1_cds_GAU87156.1_54,RvY_00049-1,RvY_00049,hypothetical protein,GAU87156.1,RvY_00049,RvY_00049,GAU87156.1 hypothetical protein RvY_00049 [Ramazzottius varieornatus],hypothetical protein RvY_00049,TRUE
"lcl|BDGG01000001.1_cds_GAU87157.1_55 [gene=RvY_00050-1] [locus_tag=RvY_00050] [protein=hypothetical protein] [protein_id=GAU87157.1] [location=complement(join(103346..103489,103701..103772))] [gbkey=CDS]",lcl|BDGG01000001.1_cds_GAU87157.1_55,RvY_00050-1,RvY_00050,hypothetical protein,GAU87157.1,RvY_00050,RvY_00050,GAU87157.1 hypothetical protein RvY_00050 [Ramazzottius varieornatus],hypothetical protein RvY_00050,TRUE
"lcl|BDGG01000001.1_cds_GAU87158.1_56 [gene=RvY_00051-1] [locus_tag=RvY_00051] [protein=hypothetical protein] [protein_id=GAU87158.1] [location=join(104242..104320,104673..104905)] [gbkey=CDS]",lcl|BDGG01000001.1_cds_GAU87158.1_56,RvY_00051-1,RvY_00051,hypothetical protein,GAU87158.1,RvY_00051,RvY_00051,GAU87158.1 hypothetical protein RvY_00051 [Ramazzottius varieornatus],hypothetical protein RvY_00051,TRUE
