gene	protein_id	raw_annotation	broad_group_auto	broad_group_figure	expert_reclassification_note	delta_pool	instability_score
RvY_16521-1	GAV06555.1	hypothetical protein; Putative sensor; CDC45; consensus disorder prediction; Sensor; CDC45; MobiDBLite	Regulation/Nucleic-acid associated	Regulation/Nucleic-acid associated	DNA replication-associated sensor	-0.0856549337919237	1.3693062310362
RvY_08608-1	GAU97284.1	hypothetical protein; Mucin-like glycoprotein; consensus disorder prediction; Mucin; MobiDBLite	Transport/Membrane	Structural/Other	Extracellular/surface protective protein; possible membrane/surface role	0.035685071639513	1.36582861183916
RvY_02623-1	GAU90166.1	hypothetical protein; Phage Pam3 gp32-like protein; consensus disorder prediction; Pam3_gp32; MobiDBLite	Structural/Other	Structural/Other	Viral-like structural annotation	-0.00264507704131312	1.34977587341938
RvY_15120	GAV04919.1	hypothetical protein; Coronavirus nucleocapsid; consensus disorder prediction; CoV_nucleocap; MobiDBLite	Structural/Other	Structural/Other	Viral-like structural annotation	-0.0412887375692561	1.33225007762593
RvY_07155-1	GAU95555.1	hypothetical protein; Plant self-incompatibility protein S1; Self-incomp_S1	Binding proteins	Binding proteins	Plant-like binding annotation	-0.113555812692501	1.23157115376733
RvY_00410-1	GAU87584.1	hypothetical protein; Pigment-dispersing hormone (PDH); Pigment_DH	Signaling/Receptor	Signaling/Receptor	Neuropeptide hormone; circadian/behavioral signaling component	-0.0208814746950843	1.22495210030081
RvY_05373-1	GAU93431.1	hypothetical protein; Pectinacetylesterase; NOTUM-RELATED; Pectinacetylesterase; Pectinacetylesterase/NOTUM; PAE; PANTHER; Pfam	Metabolism/Enzyme	Metabolism/Enzyme	Possible microbiome/contamination-associated enzyme	0.117294294777318	1.21332283144793
RvY_18180-1	GAV08498.1	hypothetical protein; DDE superfamily endonuclease; Coiled-coil domain-containing protein 167; consensus disorder prediction; DDE_1; CCDC-167; MobiDBLite	Regulation/Nucleic-acid associated	Regulation/Nucleic-acid associated	DNA/RNA nuclease-associated feature	0.091233978859826	1.20556549455049
RvY_06451-1	GAU94728.1	hypothetical protein; C2orf69; UPF0565 PROTEIN C2ORF69; C2orf69; Mitochondrial protein C2orf69; PANTHER; Pfam	DUF / unknown conserved	DUF / unknown conserved	Conserved unknown protein	0.0906765190309358	1.19690705980674
RvY_03833-1	GAU91608.1	hypothetical protein; Phi6 bacteriophage P8 capsid protein; Phi6_P8	Structural/Other	Structural/Other	Viral-like structural annotation	0.0207508087139345	1.18643408664853
RvY_15772	GAV05678.1	hypothetical protein; Diaminopimelate epimerase; DAP_epimerase	Metabolism/Enzyme	Metabolism/Enzyme	Possible bacterial contamination-associated enzyme	0.0814323996729982	1.14847617242451
