gene	gene_base	protein_id	ncbi_protein_desc	match_type	delta_pool	instability_score	pfam_name	pfam_acc	pfam_desc	pfam_hit_count	interpro_analysis	interpro_sig_acc	interpro_sig_desc	interpro_acc	interpro_desc	interpro_hit_count	raw_annotation	has_annotation	broad_group_auto	expert_reclassified_group	expert_reclassification_note	manual_reclassified	broad_group_precollapse	broad_group_figure
RvY_07904	NA	GAU96462.1	hypothetical protein	exact_gene	-0.0789002933956553	2.1952240580609	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	hypothetical protein	TRUE	Complex proteins, unresolved class	Complex proteins, unresolved class		FALSE	Complex proteins, unresolved class	Complex proteins, unresolved class
RvY_12845-1	NA	GAV02254.1	hypothetical protein	exact_gene	0.0374059952245043	2.19000626106193	CAF1; DUF4096	PF04857.26; PF13340.11	CAF1 family ribonuclease; Putative transposase of IS4/5 family (DUF4096)	3	Gene3D	G3DSA:3.30.420.10		IPR036397	Ribonuclease H superfamily	1	hypothetical protein; CAF1 family ribonuclease; Putative transposase of IS4/5 family (DUF4096); Ribonuclease H superfamily; CAF1; DUF4096; Gene3D	TRUE	DUF / unknown conserved	DUF / unknown conserved		FALSE	DUF / unknown conserved	DUF / unknown conserved
RvY_15840-1	NA	GAV05760.1	hypothetical protein	exact_gene	-0.0752359563285632	2.16064463828368	Spaetzle	PF16077.10	Spaetzle	2	SUPERFAMILY; Gene3D; PANTHER; MobiDBLite; Pfam	SSF57501; G3DSA:2.10.90.10; PTHR23199; mobidb-lite; PF16077	Cystine-knot cytokines; UNCHARACTERIZED; consensus disorder prediction; Spaetzle	IPR029034; IPR032104	Cystine-knot cytokine; Spaetzle	5	hypothetical protein; Spaetzle; Cystine-knot cytokines; UNCHARACTERIZED; consensus disorder prediction; Spaetzle; Cystine-knot cytokine; Spaetzle; SUPERFAMILY; Gene3D; PANTHER; MobiDBLite; Pfam	TRUE	Generic domain proteins	Generic domain proteins		FALSE	Generic domain proteins	Generic domain proteins
RvY_04400	NA	GAU92302.1	hypothetical protein	exact_gene	-0.0301556257624895	2.12208594294912	DUF7510	PF24350.1	Family of unknown function (DUF7510)	2	NA	NA	NA	NA	NA	NA	hypothetical protein; Family of unknown function (DUF7510); DUF7510	TRUE	DUF / unknown conserved	DUF / unknown conserved		FALSE	DUF / unknown conserved	DUF / unknown conserved
RvY_15640-1	NA	GAV05520.1	hypothetical protein	exact_gene	0.111082614664602	2.12005855133942	UTP25_NTPase-like; Utp25_C; DEAD	PF22916.2; PF06862.17; PF00270.35	UTP25, NTP hydrolase-like domain; Utp25, C-terminal domain; DEAD/DEAH box helicase	4	PANTHER; Pfam; Gene3D; SUPERFAMILY; MobiDBLite	PTHR12933; PF06862; G3DSA:3.40.50.300; SSF52540; mobidb-lite	ORF PROTEIN-RELATED; Utp25, U3 small nucleolar RNA-associated SSU processome protein 25; P-loop containing nucleoside triphosphate hydrolases; consensus disorder prediction	IPR010678; IPR027417	U3 small nucleolar RNA-associated protein 25; P-loop containing nucleoside triphosphate hydrolase	9	hypothetical protein; UTP25, NTP hydrolase-like domain; Utp25, C-terminal domain; DEAD/DEAH box helicase; ORF PROTEIN-RELATED; Utp25, U3 small nucleolar RNA-associated SSU processome protein 25; P-loop containing nucleoside triphosphate hydrolases; consensus disorder prediction; U3 small nucleolar RNA-associated protein 25; P-loop containing nucleoside triphosphate hydrolase; UTP25_NTPase-like; Utp25_C; DEAD; PANTHER; Pfam; Gene3D; SUPERFAMILY; MobiDBLite	TRUE	Metabolism/Enzyme	Metabolism/Enzyme		FALSE	Metabolism/Enzyme	Metabolism/Enzyme
RvY_12270-1	NA	GAV01581.1	hypothetical protein	exact_gene	0.0443442631889326	2.1200223770941	SQS_PSY	PF00494.24	Squalene/phytoene synthase	1	ProSitePatterns; Gene3D; SUPERFAMILY; CDD; Pfam; NCBIfam; PANTHER; SFLD; FunFam	PS01044; G3DSA:1.10.600.10; SSF48576; cd00683; PS01045; PF00494; TIGR01559; PTHR11626; SFLDG01018; G3DSA:1.10.600.10:FF:000003; SFLDS00005	Squalene and phytoene synthases signature 1.; Farnesyl Diphosphate Synthase; Terpenoid synthases; Trans_IPPS_HH; Squalene and phytoene synthases signature 2.; Squalene/phytoene synthase; squalene synthase; FARNESYL-DIPHOSPHATE FARNESYLTRANSFERASE; Squalene/Phytoene Synthase Like; Farnesyl-diphosphate farnesyltransferase 1; Isoprenoid Synthase Type I	IPR019845; IPR008949; IPR033904; IPR002060; IPR006449; IPR044844	Squalene/phytoene synthase, conserved site; Isoprenoid synthase domain superfamily; Trans-isoprenyl diphosphate synthases, head-to-head; Squalene/phytoene synthase; Squalene synthase-like; Trans-isoprenyl diphosphate synthases, eukaryotic-type	11	hypothetical protein; Squalene/phytoene synthase; Squalene and phytoene synthases signature 1.; Farnesyl Diphosphate Synthase; Terpenoid synthases; Trans_IPPS_HH; Squalene and phytoene synthases signature 2.; Squalene/phytoene synthase; squalene synthase; FARNESYL-DIPHOSPHATE FARNESYLTRANSFERASE; Squalene/Phytoene Synthase Like; Farnesyl-diphosphate farnesyltransferase 1; Isoprenoid Synthase Type I; Squalene/phytoene synthase, conserved site; Isoprenoid synthase domain superfamily; Trans-isoprenyl diphosphate synthases, head-to-head; Squalene/phytoene synthase; Squalene synthase-like; Trans-isoprenyl diphosphate synthases, eukaryotic-type; SQS_PSY; ProSitePatterns; Gene3D; SUPERFAMILY; CDD; Pfam; NCBIfam; PANTHER; SFLD; FunFam	TRUE	Metabolism/Enzyme	Metabolism/Enzyme		FALSE	Metabolism/Enzyme	Metabolism/Enzyme
RvY_19358-1	NA	GAV09891.1	hypothetical protein	exact_gene	0.10107652365731	2.10894089346423	Polysacc_lyase_14; 3keto-disac_hyd; Bmp	PF21294.4; PF06439.18; PF02608.20	Polysaccharide lyase 14; 3-keto-disaccharide hydrolase; ABC transporter substrate-binding protein PnrA-like	3	Pfam; Gene3D; PANTHER	PF21294; G3DSA:2.60.120.200; PTHR40124	Polysaccharide lyase 14	IPR048958	Polysaccharide lyase 14	3	hypothetical protein; Polysaccharide lyase 14; 3-keto-disaccharide hydrolase; ABC transporter substrate-binding protein PnrA-like; Polysaccharide lyase 14; Polysacc_lyase_14; 3keto-disac_hyd; Bmp; Pfam; Gene3D; PANTHER	TRUE	Transport/Membrane	Transport/Membrane		FALSE	Transport/Membrane	Transport/Membrane
RvY_04048	NA	GAU91871.1	hypothetical protein	exact_gene	0.114807688856143	2.10584382792648	XLF_CC; MTHFR_2	PF21928.1; PF19345.5	XLF protein coiled-coil region; Mycobacterial methylenetetrahydrofolate reductase	3	MobiDBLite	mobidb-lite	consensus disorder prediction			2	hypothetical protein; XLF protein coiled-coil region; Mycobacterial methylenetetrahydrofolate reductase; consensus disorder prediction; XLF_CC; MTHFR_2; MobiDBLite	TRUE	Structural/Other	Structural/Other		FALSE	Structural/Other	Structural/Other
RvY_07469-1	NA	GAU95953.1	hypothetical protein	exact_gene	-0.0615081265521127	2.08023609125887	Peptidase_M13_N; Peptidase_M13	PF05649.18; PF01431.27	Peptidase family M13	2	ProSiteProfiles; SUPERFAMILY; Gene3D; Pfam; PANTHER	PS51885; SSF55486; G3DSA:1.10.1380.10; PF05649; PF01431; PTHR11733	Neprilysin-like (M13) protease domain profile.; Metalloproteases (""zincins""), catalytic domain; Neutral endopeptidase , domain2; Peptidase family M13; ZINC METALLOPROTEASE FAMILY M13 NEPRILYSIN-RELATED	IPR000718; IPR042089; IPR008753; IPR018497	Peptidase M13; Peptidase M13, domain 2; Peptidase M13, N-terminal domain; Peptidase M13, C-terminal domain	6	hypothetical protein; Peptidase family M13; Neprilysin-like (M13) protease domain profile.; Metalloproteases (""zincins""), catalytic domain; Neutral endopeptidase , domain2; Peptidase family M13; ZINC METALLOPROTEASE FAMILY M13 NEPRILYSIN-RELATED; Peptidase M13; Peptidase M13, domain 2; Peptidase M13, N-terminal domain; Peptidase M13, C-terminal domain; Peptidase_M13_N; Peptidase_M13; ProSiteProfiles; SUPERFAMILY; Gene3D; Pfam; PANTHER	TRUE	Proteolysis	Proteolysis		FALSE	Proteolysis	Proteolysis
RvY_14207-1	NA	GAV03832.1	hypothetical protein	exact_gene	-0.0771606692705396	2.0661789366449	SH2; DUF7145; DUF7063; SH3_1	PF00017.30; PF23638.1; PF23205.1; PF00018.34	SH2 domain; Domain of unknown function (DUF7145); Domain of unknown function (DUF7063); SH3 domain	5	MobiDBLite; SUPERFAMILY; ProSiteProfiles; PANTHER; Pfam; SMART; Gene3D; PRINTS	mobidb-lite; SSF50044; PS50001; PTHR19969; PF00017; SM00252; SSF55550; G3DSA:2.30.30.40; G3DSA:3.30.505.10; PR00401	consensus disorder prediction; SH3-domain; Src homology 2 (SH2) domain profile.; SH2-SH3 ADAPTOR PROTEIN-RELATED; SH2 domain; SH2_5; SH3 Domains; SH2 domain signature	IPR036028; IPR000980; IPR036860	SH3-like domain superfamily; SH2 domain; SH2 domain superfamily	25	hypothetical protein; SH2 domain; Domain of unknown function (DUF7145); Domain of unknown function (DUF7063); SH3 domain; consensus disorder prediction; SH3-domain; Src homology 2 (SH2) domain profile.; SH2-SH3 ADAPTOR PROTEIN-RELATED; SH2 domain; SH2_5; SH3 Domains; SH2 domain signature; SH3-like domain superfamily; SH2 domain; SH2 domain superfamily; SH2; DUF7145; DUF7063; SH3_1; MobiDBLite; SUPERFAMILY; ProSiteProfiles; PANTHER; Pfam; SMART; Gene3D; PRINTS	TRUE	DUF / unknown conserved	DUF / unknown conserved		FALSE	DUF / unknown conserved	DUF / unknown conserved
RvY_13839-1	NA	GAV03412.1	hypothetical protein	exact_gene	0.0815258101081691	2.05590193955243	NA	NA	NA	NA	MobiDBLite	mobidb-lite	consensus disorder prediction			1	hypothetical protein; consensus disorder prediction; MobiDBLite	TRUE	Complex proteins, unresolved class	Complex proteins, unresolved class		FALSE	Complex proteins, unresolved class	Complex proteins, unresolved class
RvY_10950	NA	GAV00038.1	hypothetical protein	exact_gene	0.0495509763166995	2.00474598141787	7tm_1; 7TM_GPCR_Srx; 7TM_GPCR_Srv; Srg	PF00001.26; PF10328.15; PF10323.15; PF02118.27	7 transmembrane receptor (rhodopsin family); Serpentine type 7TM GPCR chemoreceptor Srx; Serpentine type 7TM GPCR chemoreceptor Srv; Srg family chemoreceptor	4	CDD; PANTHER; Gene3D; Pfam; SUPERFAMILY; ProSiteProfiles	cd00637; PTHR24246; G3DSA:1.20.1070.10; PF00001; SSF81321; PS50262	7tm_classA_rhodopsin-like; OLFACTORY RECEPTOR AND ADENOSINE RECEPTOR; 7 transmembrane receptor (rhodopsin family); Family A G protein-coupled receptor-like; G-protein coupled receptors family 1 profile.	IPR000276; IPR017452	G protein-coupled receptor, rhodopsin-like; GPCR, rhodopsin-like, 7TM	6	hypothetical protein; 7 transmembrane receptor (rhodopsin family); Serpentine type 7TM GPCR chemoreceptor Srx; Serpentine type 7TM GPCR chemoreceptor Srv; Srg family chemoreceptor; 7tm_classA_rhodopsin-like; OLFACTORY RECEPTOR AND ADENOSINE RECEPTOR; 7 transmembrane receptor (rhodopsin family); Family A G protein-coupled receptor-like; G-protein coupled receptors family 1 profile.; G protein-coupled receptor, rhodopsin-like; GPCR, rhodopsin-like, 7TM; 7tm_1; 7TM_GPCR_Srx; 7TM_GPCR_Srv; Srg; CDD; PANTHER; Gene3D; Pfam; SUPERFAMILY; ProSiteProfiles	TRUE	Signaling/Receptor	Signaling/Receptor		FALSE	Signaling/Receptor	Signaling/Receptor
RvY_03303-1	NA	GAU90956.1	hypothetical protein	exact_gene	0.0917426890140369	1.9932438639271	Homeodomain; OAR; Homeobox_KN	PF00046.35; PF03826.22; PF05920.17	Homeodomain; OAR motif; Homeobox KN domain	3	MobiDBLite; ProSiteProfiles; Pfam; PANTHER; CDD; Gene3D; ProSitePatterns; SMART; SUPERFAMILY; FunFam	mobidb-lite; PS50071; PF00046; PF03826; PS50803; PTHR46770; cd00086; G3DSA:1.10.10.60; PS00027; SM00389; SSF46689; G3DSA:1.10.10.60:FF:000057	consensus disorder prediction; 'Homeobox' domain profile.; Homeodomain; OAR motif; OAR domain profile.; HOMEOBOX PROTEIN ORTHOPEDIA; homeodomain; 'Homeobox' domain signature.; HOX_1; Homeodomain-like; Short stature homeobox 2	IPR001356; IPR003654; IPR017970; IPR009057	Homeobox domain; OAR domain; Homeobox, conserved site; Homeobox-like domain superfamily	15	hypothetical protein; Homeodomain; OAR motif; Homeobox KN domain; consensus disorder prediction; 'Homeobox' domain profile.; Homeodomain; OAR motif; OAR domain profile.; HOMEOBOX PROTEIN ORTHOPEDIA; homeodomain; 'Homeobox' domain signature.; HOX_1; Homeodomain-like; Short stature homeobox 2; Homeobox domain; OAR domain; Homeobox, conserved site; Homeobox-like domain superfamily; Homeodomain; OAR; Homeobox_KN; MobiDBLite; ProSiteProfiles; Pfam; PANTHER; CDD; Gene3D; ProSitePatterns; SMART; SUPERFAMILY; FunFam	TRUE	Generic domain proteins	Generic domain proteins		FALSE	Generic domain proteins	Generic domain proteins
RvY_14832-1	NA	GAV04565.1	hypothetical protein	exact_gene	-0.0957181017613635	1.95817889884557	Corazonin	PF17308.7	Pro-corazonin	1	NA	NA	NA	NA	NA	NA	hypothetical protein; Pro-corazonin; Corazonin	TRUE	Complex proteins, unresolved class	Signaling/Receptor	Neuropeptide/hormone precursor; stress-physiology signaling component	TRUE	Signaling/Receptor	Signaling/Receptor
