gene,category,protein_id,protein_desc_from_cds,protein_desc_from_protein,Preferred_name,Description,GOs,KEGG_ko,KEGG_Pathway,PFAMs_eggnog,ipr_acc,ipr_desc,ipr_go,ipr_path,pfam_hits
RvY_09977,Instability-only,GAU98895.1,hypothetical protein,hypothetical protein RvY_09977-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_02617,Instability-only,GAU90157.1,hypothetical protein,hypothetical protein RvY_02617-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_14133,Instability-only,GAV03750.1,hypothetical protein,hypothetical protein RvY_14133-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_19489-1,Instability-only,GAV10004.1,hypothetical protein,hypothetical protein RvY_19489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_05756-1,Instability-only,GAU93891.1,hypothetical protein,hypothetical protein RvY_05756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_00460-1,Instability-only,GAU87645.1,hypothetical protein,hypothetical protein RvY_00460,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_06540-1,Instability-only,GAU94830.1,hypothetical protein,hypothetical protein RvY_06540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_17121-1,Instability-only,GAV07261.1,hypothetical protein,hypothetical protein RvY_17121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_19669-1,Instability-only,GAV10094.1,hypothetical protein,"hypothetical protein RvY_19669, partial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_10593-1,Instability-only,GAU99625.1,hypothetical protein,hypothetical protein RvY_10593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_01202,Instability-only,GAU88515.1,hypothetical protein,hypothetical protein RvY_01202-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_13378-1,Instability-only,GAV02866.1,hypothetical protein,hypothetical protein RvY_13378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_12589-1,Instability-only,GAV01966.1,hypothetical protein,hypothetical protein RvY_12589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_12426-1,Instability-only,GAV01768.1,hypothetical protein,hypothetical protein RvY_12426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_05865-1,Instability-only,GAU94017.1,hypothetical protein,hypothetical protein RvY_05865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_08410,Instability-only,GAU97050.1,hypothetical protein,hypothetical protein RvY_08410-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_18994-1,Instability-only,GAV09450.1,hypothetical protein,hypothetical protein RvY_18994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_14535-1,Instability-only,GAV04223.1,hypothetical protein,hypothetical protein RvY_14535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_10290,Instability-only,GAU99261.1,hypothetical protein,hypothetical protein RvY_10290-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_03382,Instability-only,GAU91053.1,hypothetical protein,hypothetical protein RvY_03382-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_04310-1,Instability-only,GAU92197.1,hypothetical protein,hypothetical protein RvY_04310,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_01734-1,Instability-only,GAU89150.1,hypothetical protein,hypothetical protein RvY_01734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_13663-1,Instability-only,GAV03204.1,hypothetical protein,hypothetical protein RvY_13663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_03054,Instability-only,GAU90668.1,hypothetical protein,hypothetical protein RvY_03054-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_18153-1,Instability-only,GAV08470.1,hypothetical protein,hypothetical protein RvY_18153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_03078-1,Instability-only,GAU90698.1,hypothetical protein,hypothetical protein RvY_03078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_11656-1,Instability-only,GAV00868.1,hypothetical protein,hypothetical protein RvY_11656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_16778-1,Instability-only,GAV06863.1,hypothetical protein,hypothetical protein RvY_16778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_03711-1,Instability-only,GAU91465.1,hypothetical protein,hypothetical protein RvY_03711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_17009-1,Instability-only,GAV07133.1,hypothetical protein,hypothetical protein RvY_17009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_01402-1,Instability-only,GAU88765.1,hypothetical protein,hypothetical protein RvY_01402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_11683-1,Instability-only,GAV00898.1,hypothetical protein,hypothetical protein RvY_11683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_13098-1,Instability-only,GAV02551.1,hypothetical protein,hypothetical protein RvY_13098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_04007,Instability-only,GAU91823.1,hypothetical protein,"hypothetical protein RvY_04007-3, partial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_08139-1,Instability-only,GAU96740.1,hypothetical protein,hypothetical protein RvY_08139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_16041,Instability-only,GAV05997.1,hypothetical protein,hypothetical protein RvY_16041-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_19360-1,Instability-only,GAV09893.1,hypothetical protein,hypothetical protein RvY_19360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_07969-1,Instability-only,GAU96539.1,hypothetical protein,hypothetical protein RvY_07969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_17911-1,Instability-only,GAV08180.1,hypothetical protein,hypothetical protein RvY_17911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_02577-1,Instability-only,GAU90111.1,hypothetical protein,hypothetical protein RvY_02577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_10077-1,Instability-only,GAU99016.1,hypothetical protein,hypothetical protein RvY_10077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_17017-1,Instability-only,GAV07142.1,hypothetical protein,hypothetical protein RvY_17017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_00302-1,Instability-only,GAU87467.1,hypothetical protein,hypothetical protein RvY_00302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_06583,Instability-only,GAU94879.1,hypothetical protein,hypothetical protein RvY_06583-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_10146-1,Instability-only,GAU99102.1,hypothetical protein,hypothetical protein RvY_10146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_13484,Instability-only,GAV02991.1,hypothetical protein,hypothetical protein RvY_13484-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_17613,Instability-only,GAV07822.1,hypothetical protein,hypothetical protein RvY_17613-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_17169-1,Instability-only,GAV07323.1,hypothetical protein,hypothetical protein RvY_17169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_16508-1,Instability-only,GAV06540.1,hypothetical protein,hypothetical protein RvY_16508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_07351-1,Instability-only,GAU95796.1,hypothetical protein,hypothetical protein RvY_07351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_07904,Instability-only,GAU96462.1,hypothetical protein,hypothetical protein RvY_07904-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_06298-1,Instability-only,GAU94543.1,hypothetical protein,hypothetical protein RvY_06298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_12845-1,Instability-only,GAV02254.1,hypothetical protein,hypothetical protein RvY_12845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_14824-1,Instability-only,GAV04557.1,hypothetical protein,hypothetical protein RvY_14824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_14697-1,Instability-only,GAV04418.1,hypothetical protein,hypothetical protein RvY_14697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_08869-1,Instability-only,GAU97596.1,hypothetical protein,hypothetical protein RvY_08869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_04206,Instability-only,GAU92071.1,hypothetical protein,hypothetical protein RvY_04206-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_15840-1,Instability-only,GAV05760.1,hypothetical protein,hypothetical protein RvY_15840,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_02643,Instability-only,GAU90190.1,hypothetical protein,"hypothetical protein RvY_02643-1, partial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_16446,Instability-only,GAV06458.1,hypothetical protein,hypothetical protein RvY_16446-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_05282-1,Instability-only,GAU93322.1,hypothetical protein,hypothetical protein RvY_05282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_16695,Instability-only,GAV06762.1,hypothetical protein,hypothetical protein RvY_16695-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_07093,Instability-only,GAU95481.1,hypothetical protein,hypothetical protein RvY_07093-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_12836-1,Instability-only,GAV02245.1,hypothetical protein,hypothetical protein RvY_12836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_12517-1,Instability-only,GAV01878.1,hypothetical protein,hypothetical protein RvY_12517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_17673-1,Instability-only,GAV07893.1,hypothetical protein,hypothetical protein RvY_17673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_03476-1,Instability-only,GAU91167.1,hypothetical protein,hypothetical protein RvY_03476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_01840,Instability-only,GAU89271.1,hypothetical protein,hypothetical protein RvY_01840-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_03547,Instability-only,GAU91254.1,hypothetical protein,hypothetical protein RvY_03547-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_17919,Instability-only,GAV08188.1,hypothetical protein,hypothetical protein RvY_17919-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_04400,Instability-only,GAU92302.1,hypothetical protein,hypothetical protein RvY_04400-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_00941-1,Instability-only,GAU88198.1,hypothetical protein,hypothetical protein RvY_00941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_09765-1,Instability-only,GAU98646.1,hypothetical protein,hypothetical protein RvY_09765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_15640-1,Instability-only,GAV05520.1,hypothetical protein,hypothetical protein RvY_15640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_12270-1,Instability-only,GAV01581.1,hypothetical protein,hypothetical protein RvY_12270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_19358-1,Instability-only,GAV09891.1,hypothetical protein,hypothetical protein RvY_19358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_04048,Instability-only,GAU91871.1,hypothetical protein,hypothetical protein RvY_04048-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_09162-1,Instability-only,GAU97944.1,hypothetical protein,hypothetical protein RvY_09162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_00844-1,Instability-only,GAU88083.1,hypothetical protein,hypothetical protein RvY_00844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_08684-1,Instability-only,GAU97372.1,hypothetical protein,hypothetical protein RvY_08684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_09669-1,Instability-only,GAU98537.1,hypothetical protein,hypothetical protein RvY_09669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_04191,Instability-only,GAU92045.1,hypothetical protein,hypothetical protein RvY_04191-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_07189-1,Instability-only,GAU95593.1,hypothetical protein,hypothetical protein RvY_07189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_13800,Instability-only,GAV03366.1,hypothetical protein,hypothetical protein RvY_13800-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_13181-1,Instability-only,GAV02642.1,hypothetical protein,hypothetical protein RvY_13181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_09004-1,Instability-only,GAU97766.1,hypothetical protein,hypothetical protein RvY_09004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_18462-1,Pooled-only,GAV08826.1,hypothetical protein,hypothetical protein RvY_18462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_18231,Pooled-only,GAV08560.1,hypothetical protein,hypothetical protein RvY_18231-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_06255-3,Pooled-only,GAU94486.1,hypothetical protein,hypothetical protein RvY_06255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_03228-1,Pooled-only,GAU90869.1,hypothetical protein,hypothetical protein RvY_03228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_06342,Pooled-only,GAU94600.1,hypothetical protein,hypothetical protein RvY_06342-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_16845-1,Pooled-only,GAV06937.1,hypothetical protein,hypothetical protein RvY_16845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_05884-1,Pooled-only,GAU94039.1,hypothetical protein,hypothetical protein RvY_05884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_03227-1,Pooled-only,GAU90868.1,hypothetical protein,hypothetical protein RvY_03227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_06734-1,Pooled-only,GAU95053.1,hypothetical protein,hypothetical protein RvY_06734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_05779-1,Pooled-only,GAU93916.1,hypothetical protein,hypothetical protein RvY_05779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_17300-1,Pooled-only,GAV07471.1,hypothetical protein,hypothetical protein RvY_17300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_01565-1,Pooled-only,GAU88959.1,hypothetical protein,hypothetical protein RvY_01565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_04051-1,Pooled-only,GAU91876.1,hypothetical protein,hypothetical protein RvY_04051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_03664-1,Pooled-only,GAU91406.1,hypothetical protein,hypothetical protein RvY_03664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_13211-1,Pooled-only,GAV02675.1,hypothetical protein,hypothetical protein RvY_13211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_12829,Pooled-only,GAV02237.1,hypothetical protein,hypothetical protein RvY_12829-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_16639-1,Pooled-only,GAV06693.1,hypothetical protein,hypothetical protein RvY_16639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_03100-1,Pooled-only,GAU90722.1,hypothetical protein,hypothetical protein RvY_03100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_12499-1,Pooled-only,GAV01857.1,hypothetical protein,hypothetical protein RvY_12499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_16235,Pooled-only,GAV06211.1,hypothetical protein,hypothetical protein RvY_16235-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_03082-1,Pooled-only,GAU90703.1,hypothetical protein,hypothetical protein RvY_03082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_08196-1,Pooled-only,GAU96809.1,hypothetical protein,hypothetical protein RvY_08196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_07274-1,Pooled-only,GAU95696.1,hypothetical protein,hypothetical protein RvY_07274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_06615-1,Pooled-only,GAU94916.1,hypothetical protein,hypothetical protein RvY_06615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_00468-1,Pooled-only,GAU87652.1,hypothetical protein,hypothetical protein RvY_00468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_17106-1,Pooled-only,GAV07244.1,hypothetical protein,hypothetical protein RvY_17106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_13782-1,Pooled-only,GAV03342.1,hypothetical protein,hypothetical protein RvY_13782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_07119,Pooled-only,GAU95515.1,hypothetical protein,hypothetical protein RvY_07119-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_00467-1,Pooled-only,GAU87651.1,hypothetical protein,hypothetical protein RvY_00467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_17051-1,Pooled-only,GAV07178.1,hypothetical protein,hypothetical protein RvY_17051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_17050-1,Pooled-only,GAV07177.1,hypothetical protein,hypothetical protein RvY_17050,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_03819-1,Pooled-only,GAU91592.1,hypothetical protein,hypothetical protein RvY_03819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_13511-1,Pooled-only,GAV03022.1,hypothetical protein,hypothetical protein RvY_13511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_16958-1,Pooled-only,GAV07076.1,hypothetical protein,hypothetical protein RvY_16958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_03744-1,Pooled-only,GAU91505.1,hypothetical protein,hypothetical protein RvY_03744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_02649-1,Pooled-only,GAU90198.1,hypothetical protein,hypothetical protein RvY_02649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_03998-1,Pooled-only,GAU91809.1,hypothetical protein,hypothetical protein RvY_03998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_03101-1,Pooled-only,GAU90723.1,hypothetical protein,hypothetical protein RvY_03101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_15001-1,Pooled-only,GAV04775.1,hypothetical protein,hypothetical protein RvY_15001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_06764-1,Pooled-only,GAU95087.1,hypothetical protein,hypothetical protein RvY_06764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_06351-1,Pooled-only,GAU94613.1,hypothetical protein,hypothetical protein RvY_06351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_18544-1,Pooled-only,GAV08925.1,hypothetical protein,hypothetical protein RvY_18544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_11867-1,Pooled-only,GAV01105.1,hypothetical protein,hypothetical protein RvY_11867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_15057,Pooled-only,GAV04838.1,hypothetical protein,hypothetical protein RvY_15057-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_01716-1,Pooled-only,GAU89128.1,hypothetical protein,hypothetical protein RvY_01716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_01433-1,Pooled-only,GAU88799.1,hypothetical protein,hypothetical protein RvY_01433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_00482-1,Pooled-only,GAU87668.1,hypothetical protein,hypothetical protein RvY_00482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_19214,Pooled-only,GAV09724.1,hypothetical protein,hypothetical protein RvY_19214-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_15678,Pooled-only,GAV05572.1,hypothetical protein,hypothetical protein RvY_15678-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_10445-1,Pooled-only,GAU99440.1,hypothetical protein,hypothetical protein RvY_10445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_11604,Pooled-only,GAV00807.1,hypothetical protein,hypothetical protein RvY_11604-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_18007-1,Pooled-only,GAV08291.1,hypothetical protein,hypothetical protein RvY_18007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_01197-1,Pooled-only,GAU88510.1,hypothetical protein,hypothetical protein RvY_01197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_04686,Pooled-only,GAU92632.1,hypothetical protein,hypothetical protein RvY_04686-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_19025-1,Pooled-only,GAV09488.1,hypothetical protein,hypothetical protein RvY_19025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_08293-1,Pooled-only,GAU96926.1,hypothetical protein,hypothetical protein RvY_08293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_07667-1,Pooled-only,GAU96184.1,hypothetical protein,hypothetical protein RvY_07667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_14711-1,Pooled-only,GAV04436.1,hypothetical protein,hypothetical protein RvY_14711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_18543-1,Pooled-only,GAV08924.1,hypothetical protein,hypothetical protein RvY_18543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_06939-1,Pooled-only,GAU95295.1,hypothetical protein,hypothetical protein RvY_06939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_03835-1,Pooled-only,GAU91610.1,hypothetical protein,hypothetical protein RvY_03835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_11464-1,Pooled-only,GAV00643.1,hypothetical protein,hypothetical protein RvY_11464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_18641,Pooled-only,GAV09037.1,hypothetical protein,hypothetical protein RvY_18641-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_03764-1,Pooled-only,GAU91528.1,hypothetical protein,hypothetical protein RvY_03764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_07956-1,Pooled-only,GAU96525.1,hypothetical protein,hypothetical protein RvY_07956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_03616,Pooled-only,GAU91345.1,hypothetical protein,hypothetical protein RvY_03616-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_03666-1,Pooled-only,GAU91408.1,hypothetical protein,hypothetical protein RvY_03666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_12252,Pooled-only,GAV01557.1,hypothetical protein,hypothetical protein RvY_12252-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_02000-1,Pooled-only,GAU89451.1,hypothetical protein,hypothetical protein RvY_02000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_00970-1,Pooled-only,GAU88230.1,hypothetical protein,hypothetical protein RvY_00970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_17052-1,Pooled-only,GAV07179.1,hypothetical protein,hypothetical protein RvY_17052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_11038-1,Pooled-only,GAV00150.1,hypothetical protein,hypothetical protein RvY_11038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_06258-1,Pooled-only,GAU94489.1,hypothetical protein,hypothetical protein RvY_06258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_16564-1,Pooled-only,GAV06602.1,hypothetical protein,hypothetical protein RvY_16564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvY_12219-1,Pooled-only,GAV01520.1,hypothetical protein,hypothetical protein RvY_12219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
